Postcode,Total Installations,Total SGU Rated Output In kW
0000,4,4.460
0200,1,0.080
0800,33,320.870
0801,4,11.460
0803,1,6.120
0804,11,42.635
0810,828,3473.340
0811,2,9.000
0812,451,1758.621
0813,5,75.949
0814,3,13.060
0820,196,1805.975
0821,3,26.740
0822,184,1371.026
0828,24,446.320
0829,4,19.450
0830,484,1978.813
0831,7,26.330
0832,348,1262.559
0834,47,242.880
0835,156,653.641
0836,327,1494.865
0837,14,60.500
0838,32,174.495
0840,24,113.465
0841,11,34.005
0845,38,199.121
0846,17,61.170
0847,7,144.835
0850,224,1936.935
0851,35,167.445
0852,49,343.635
0854,6,33.055
0860,67,360.096
0861,18,106.495
0862,6,70.015
0870,1340,6086.811
0871,52,379.225
0872,83,568.941
0873,9,62.500
0874,2,44.500
0875,18,76.578
0880,11,153.431
0881,12,107.730
0885,1,7.410
0886,8,71.700
1340,1,1.140
1355,1,1.020
1435,1,1.540
1470,1,1.520
1475,1,2.100
1480,2,4.880
1485,1,2.000
1490,1,1.510
1495,1,4.750
1570,2,11.150
1595,2,4.140
1630,1,5.000
1658,1,5.040
1660,1,3.500
1670,1,4.440
1680,2,9.380
1715,2,3.010
1730,3,8.000
1741,1,10.000
1755,1,1.980
1765,6,15.420
1790,3,41.020
1800,1,4.200
1805,2,14.720
1830,1,6.080
1835,1,1.140
1848,1,1.040
1860,3,25.420
1871,1,1.520
1875,1,1.610
1885,5,13.290
1890,4,11.380
2000,15,250.537
2007,17,104.980
2008,37,249.145
2009,7,18.640
2010,97,340.218
2011,21,103.934
2015,106,712.642
2016,64,145.346
2017,33,284.035
2018,182,539.542
2019,188,1019.175
2020,182,614.404
2021,85,231.113
2022,133,370.620
2023,92,372.439
2024,169,485.920
2025,55,151.611
2026,253,704.026
2027,35,143.040
2028,22,62.525
2029,76,287.568
2030,180,640.050
2031,328,1011.394
2032,173,469.397
2033,98,315.072
2034,200,542.029
2035,558,1514.931
2036,568,1653.203
2037,140,450.013
2038,156,371.390
2039,126,408.391
2040,408,1059.711
2041,232,595.857
2042,260,679.386
2043,68,141.279
2044,219,725.217
2045,89,302.835
2046,422,1234.854
2047,128,358.282
2048,109,356.444
2049,171,466.209
2050,91,267.060
2055,1,2.400
2057,10,20.115
2059,2,38.360
2060,92,318.725
2061,12,61.086
2062,63,169.499
2063,171,505.613
2064,108,470.576
2065,330,918.495
2066,628,1881.953
2067,334,887.967
2068,384,1110.569
2069,345,1025.612
2070,288,801.828
2071,263,858.843
2072,115,401.431
2073,342,1135.182
2074,586,1636.805
2075,407,1165.433
2076,607,2046.695
2077,752,2215.583
2079,263,667.118
2080,78,254.210
2081,288,701.335
2082,260,657.585
2083,109,335.355
2084,162,661.863
2085,489,1459.291
2086,467,1208.254
2087,453,1289.265
2088,337,1081.092
2089,34,100.380
2090,109,303.631
2092,196,606.588
2093,478,1327.115
2094,84,197.965
2095,147,475.271
2096,291,808.016
2097,428,1040.817
2099,784,2092.568
2100,620,1857.023
2101,492,1364.238
2102,251,652.715
2103,282,897.719
2104,100,300.415
2105,47,135.934
2106,187,492.329
2107,376,1071.359
2108,59,194.305
2109,1,21.120
2110,182,564.848
2111,292,822.210
2112,644,1724.379
2113,431,1461.636
2114,487,1325.501
2115,278,705.388
2116,157,620.893
2117,511,1346.358
2118,925,2048.993
2119,328,857.200
2120,596,1769.498
2121,778,1786.627
2122,866,1989.706
2123,1,3.420
2124,3,4.540
2125,820,2107.497
2126,915,2074.494
2127,25,429.275
2128,65,633.285
2130,81,310.770
2131,281,764.994
2132,223,565.408
2133,217,515.734
2134,215,706.485
2135,458,1356.950
2136,163,445.763
2137,467,1257.712
2138,212,632.995
2140,115,360.379
2141,832,2120.463
2142,476,1302.074
2143,297,766.900
2144,688,2160.829
2145,2497,6242.143
2146,707,1662.035
2147,1796,4470.380
2148,2630,6963.959
2150,152,485.040
2151,474,1272.874
2152,318,798.691
2153,2790,7295.212
2154,1633,4508.241
2155,2890,7812.136
2156,768,2476.938
2157,172,696.028
2158,291,1331.109
2159,230,835.089
2160,718,1859.184
2161,676,2028.603
2162,574,1665.540
2163,242,918.834
2164,870,4050.011
2165,1311,3545.413
2166,1959,5017.123
2167,484,1156.082
2168,1795,4260.087
2170,3921,10913.663
2171,1485,4167.935
2172,144,399.666
2173,675,1501.891
2174,63,297.825
2175,82,502.759
2176,2293,6089.027
2177,753,1911.536
2178,180,908.985
2179,154,673.240
2190,680,2206.210
2191,136,372.465
2192,232,623.664
2193,372,958.713
2194,296,732.516
2195,314,758.121
2196,694,1734.903
2197,287,758.456
2198,271,646.237
2199,515,1371.924
2200,944,2953.277
2203,242,546.178
2204,470,1777.077
2205,231,596.657
2206,434,1070.366
2207,607,1629.839
2208,319,1035.101
2209,475,1108.046
2210,896,2392.620
2211,499,1292.482
2212,471,1474.969
2213,675,1722.243
2214,200,873.794
2216,333,900.338
2217,402,1224.188
2218,269,691.315
2219,280,760.825
2220,525,1288.602
2221,382,1146.688
2222,210,460.830
2223,549,1534.802
2224,317,942.869
2225,137,341.535
2226,409,992.578
2227,338,939.127
2228,353,943.456
2229,596,2202.406
2230,543,1570.130
2231,91,292.693
2232,835,2345.355
2233,1112,3074.962
2234,1147,3434.826
2250,3212,9318.553
2251,1569,3666.529
2256,741,2089.445
2257,1187,3018.711
2258,237,752.331
2259,3725,9866.662
2260,898,2324.674
2261,1971,4961.276
2262,1071,2817.590
2263,1275,2984.081
2264,974,2333.618
2265,461,1217.600
2267,171,555.750
2278,157,445.738
2280,1356,3467.783
2281,676,1791.348
2282,860,2432.584
2283,1359,3608.303
2284,594,1686.846
2285,1560,4591.791
2286,199,630.195
2287,1836,4662.420
2289,757,1933.578
2290,1490,4339.233
2291,519,1408.046
2292,106,432.078
2293,81,249.330
2294,57,191.781
2295,281,634.108
2296,84,234.290
2297,96,228.947
2298,349,1002.344
2299,447,1260.450
2300,250,1000.484
2302,8,124.740
2303,389,1052.953
2304,679,2202.074
2305,555,1388.782
2306,38,188.210
2307,178,446.413
2308,2,13.720
