Postcode,Total Installations,Total SGU Rated Output In kW
2084,1,0.420
2168,1,0.250
2195,1,1.530
2259,1,5.100
2267,1,5.000
2304,1,5.000
2318,1,2.400
2321,1,0.400
2329,1,10.000
2330,2,10.200
2333,2,15.000
2335,1,5.000
2340,2,20.000
2343,2,20.000
2350,3,25.000
2353,1,5.000
2354,4,35.000
2358,1,2.000
2360,2,20.000
2370,1,10.000
2372,1,10.000
2380,1,5.000
2405,1,10.000
2429,1,0.400
2440,2,20.000
2444,1,2.500
2446,1,0.400
2447,1,1.000
2450,1,1.000
2470,1,3.000
2479,1,10.000
2480,2,10.200
2481,2,15.000
2482,1,0.200
2484,1,0.400
2526,1,10.000
2527,1,10.000
2533,3,21.680
2534,2,15.000
2535,4,35.000
2538,1,5.800
2539,1,5.000
2540,2,10.400
2546,2,10.400
2550,2,1.400
2551,1,0.400
2575,1,2.400
2576,3,30.000
2577,7,55.600
2579,3,20.000
2580,11,63.150
2581,2,15.000
2582,1,10.000
2583,13,106.000
2584,1,0.750
2585,1,10.000
2586,2,2.200
2588,1,10.000
2618,1,5.000
2620,1,10.000
2622,3,20.300
2623,1,0.900
2626,3,1.200
2627,3,30.000
2630,2,10.900
2631,2,6.000
2632,2,10.000
2706,1,10.000
2765,1,10.000
2782,1,0.900
2787,4,2.680
2790,1,2.640
2794,1,2.000
2795,9,70.400
2799,2,5.300
2800,2,20.000
2803,1,1.000
2820,1,10.000
2830,1,10.000
2835,1,1.000
2842,1,10.000
2843,2,20.000
2850,8,50.400
2852,1,5.000
3013,1,3.000
3020,1,1.000
3029,1,1.000
3058,1,1.000
3152,2,4.800
3197,1,1.520
3237,1,1.000
3333,1,1.800
3340,1,1.000
3341,1,1.000
3342,2,6.300
3351,1,1.000
3352,3,4.300
3355,1,3.300
3371,1,1.000
3373,1,1.000
3437,1,1.100
3442,1,3.000
3444,1,1.680
3461,3,5.300
3523,1,0.600
3551,1,1.000
3610,2,1.600
3659,1,0.400
3691,1,0.600
3756,2,6.000
3757,1,1.000
3764,1,2.500
3770,1,1.000
3777,1,1.000
3806,1,3.300
3844,1,1.000
3851,1,1.500
3880,1,1.000
3885,1,2.000
3898,1,0.400
3921,7,10.400
3953,2,2.000
3984,1,1.000
3995,2,3.000
4061,1,1.000
4075,1,1.500
4228,1,0.200
4272,1,1.200
4312,1,1.000
4350,1,0.400
4352,6,3.600
4361,1,1.000
4370,1,1.000
4421,1,0.400
4507,1,0.400
4520,1,0.000
4521,1,1.000
4552,1,1.200
4570,1,1.000
4574,1,0.800
4660,1,2.500
4674,3,1.570
4678,1,1.000
4680,10,5.380
4829,1,1.000
4861,1,0.600
4875,2,1.600
4879,1,0.300
4883,1,0.400
5039,1,1.000
5072,1,0.400
5156,1,1.000
5160,1,1.000
5163,2,5.500
5171,14,12.250
5172,1,2.500
5201,1,1.200
5203,3,2.400
5211,2,2.800
5214,2,4.300
5221,2,0.400
5222,1,3.000
5223,3,5.400
5235,1,3.700
5238,1,0.800
5250,1,1.800
5254,1,1.800
5351,1,0.900
5353,1,0.400
5354,1,3.240
5357,1,2.000
5374,2,0.800
5381,2,1.600
5434,1,0.400
5453,1,1.000
5501,1,1.800
5571,2,4.000
5577,1,1.800
5605,1,1.000
5607,2,2.360
5641,1,0.400
5680,3,6.100
5690,1,3.000
5710,1,5.000
5722,2,0.600
6110,1,1.000
6163,1,1.000
6210,1,1.000
6221,1,1.000
6237,1,1.000
6252,1,3.000
6258,1,1.000
6280,1,1.550
6282,1,1.500
6284,1,1.000
6285,1,1.000
6290,2,1.350
6302,2,3.500
6304,1,3.000
6315,1,1.000
6323,1,2.250
6324,2,1.160
6326,1,0.260
6330,1,2.250
6333,2,7.000
6346,1,2.000
6450,2,2.500
6460,1,1.000
6530,1,2.500
6532,1,1.900
6638,1,1.000
6701,7,18.450
7016,1,1.500
7019,1,10.000
7025,1,1.000
7027,1,1.500
7030,1,0.500
7054,1,1.600
7112,2,2.200
7116,1,1.500
7140,2,1.200
7150,1,10.000
7170,1,1.000
7173,1,2.000
7180,1,3.200
7182,1,10.000
7184,1,1.000
7249,1,0.750
7250,1,1.000
7252,1,2.400
7255,1,1.000
7256,4,14.900
7469,1,0.300
