Postcode,Total Installations
0800,12
0810,14
0812,15
0820,9
0822,488
0828,6
0830,28
0831,2
0832,1
0835,3
0836,3
0838,6
0850,3
0852,82
0860,7
0861,1
0870,232
0872,111
0880,62
0885,239
0886,6
1355,1
1450,1
1475,1
1490,7
1493,1
1495,7
1499,3
1582,2
1595,1
1630,3
1658,1
1680,1
1715,1
1730,1
1755,3
1765,2
1771,1
1790,3
1811,3
1825,1
1835,3
1848,9
1860,4
1871,2
1875,5
1890,11
2000,39
2007,7
2008,11
2009,6
2010,25
2011,7
2015,6
2016,9
2017,4
2018,14
2019,27
2020,15
2021,11
2022,6
2023,8
2024,9
2025,3
2026,17
2027,7
2028,3
2029,3
2030,8
2031,50
2032,43
2033,11
2034,19
2035,92
2036,178
2037,24
2038,21
2039,52
2040,52
2041,28
2042,18
2043,3
2044,27
2045,7
2046,54
2047,15
2048,16
2049,12
2050,5
2057,4
2059,1
2060,20
2062,6
2063,20
2064,5
2065,42
2066,72
2067,25
2068,40
2069,31
2070,39
2071,39
2072,16
2073,71
2074,123
2075,85
2076,149
2077,198
2079,83
2080,19
2081,102
2082,93
2083,41
2084,32
2085,47
2086,53
2087,51
2088,34
2089,15
2090,13
2092,11
2093,33
2094,6
2095,17
2096,17
2097,42
2099,89
2100,87
2101,56
2102,12
2103,30
2104,31
2105,33
2106,32
2107,65
2108,5
2110,24
2111,31
2112,76
2113,68
2114,60
2115,66
2116,23
2117,75
2118,150
2119,65
2120,169
2121,67
2122,113
2123,2
2124,1
2125,85
2126,67
2127,9
2128,3
2130,5
2131,24
2132,26
2133,14
2134,25
2135,49
2136,20
2137,34
2138,13
2140,7
2141,70
2142,34
2143,45
2144,34
2145,317
2146,96
2147,323
2148,391
2150,22
2151,88
2152,48
2153,339
2154,266
2155,99
2156,146
2157,55
2158,59
2159,69
2160,77
2161,85
2162,117
2163,38
2164,141
2165,216
2166,362
2167,69
2168,172
2170,475
2171,84
2172,17
2173,32
2174,1
2175,19
2176,272
2177,44
2178,31
2179,45
2190,67
2191,11
2192,39
2193,39
2194,19
2195,16
2196,65
2197,79
2198,64
2199,109
2200,128
2203,13
2204,30
2205,14
2206,50
2207,75
2208,44
2209,57
2210,187
2211,142
2212,96
2213,328
2214,44
2216,46
2217,57
2218,17
2219,38
2220,42
2221,50
2222,20
2223,73
2224,107
2225,76
2226,149
2227,120
2228,116
2229,223
2230,135
2231,42
2232,310
2233,290
2234,361
2250,641
2251,535
2256,248
2257,458
2258,39
2259,714
2260,306
2261,513
2262,291
2263,377
2264,372
2265,102
2267,99
2278,87
2280,663
2281,453
2282,414
2283,734
2284,378
2285,550
2286,110
2287,603
2289,284
2290,659
2291,102
2292,18
2293,15
2294,20
2295,78
2296,12
2297,17
2298,101
2299,134
2300,38
2303,54
2304,149
2305,157
2306,22
2307,83
2309,1
2311,21
2312,48
2315,445
2316,163
2317,147
2318,356
2319,228
