Postcode,Total Installations
0000,680
0200,1
0800,78
0801,39
0804,19
0810,2399
0811,9
0812,1789
0813,9
0814,28
0820,944
0821,19
0822,351
0825,3
0826,6
0827,1
0828,96
0829,29
0830,2132
0831,51
0832,1573
0834,16
0835,406
0836,612
0837,51
0838,46
0839,49
0840,39
0841,25
0845,56
0846,27
0847,13
0850,437
0851,109
0852,130
0853,30
0854,46
0860,70
0861,20
0862,7
0870,2231
0871,101
0872,349
0880,206
0881,63
0885,6
0886,8
0909,1
1095,1
1174,1
1455,4
1460,1
1475,2
1480,1
1490,1
1495,2
1499,2
1582,1
1590,3
1595,2
1630,3
1639,2
1655,2
1658,1
1660,1
1675,1
1685,15
1700,4
1710,43
1715,3
1730,7
1750,1
1755,5
1765,5
1790,14
1805,1
1811,1
1816,1
1825,1
1830,19
1848,16
1851,1
1871,7
1875,2
1885,17
1890,18
1891,2
2000,8
2002,1
2007,8
2008,29
2009,8
2010,59
2011,5
2015,72
2016,42
2017,20
2018,38
2019,51
2020,67
2021,79
2022,52
2023,40
2024,65
2025,39
2026,120
2027,14
2028,6
2029,33
2030,69
2031,190
2032,66
2033,33
2034,100
2035,238
2036,402
2037,168
2038,147
2039,120
2040,324
2041,200
2042,144
2043,27
2044,76
2045,59
2046,148
2047,33
2048,53
2049,97
2050,44
2055,3
2057,13
2058,1
2060,41
2061,3
2062,36
2063,45
2064,21
2065,118
2066,211
2067,110
2068,146
2069,125
2070,161
2071,143
2072,64
2073,216
2074,407
2075,280
2076,326
2077,489
2079,200
2080,76
2081,226
2082,232
2083,91
2084,85
2085,174
2086,185
2087,212
2088,129
2089,36
2090,46
2091,1
2092,82
2093,200
2094,26
2095,44
2096,91
2097,133
2098,1
2099,215
2100,302
2101,222
2102,56
2103,117
2104,63
2105,43
2106,85
2107,181
2108,35
2110,74
2111,116
2112,271
2113,241
2114,189
2115,146
2116,54
2117,274
2118,491
2119,166
2120,463
2121,311
2122,349
2123,2
2124,5
2125,274
2126,218
2127,466
2128,8
2130,43
2131,72
2132,64
2133,61
2134,52
2135,116
2136,30
2137,161
2138,52
2139,1
2140,29
2141,116
2142,101
2143,94
2144,121
2145,745
2146,255
2147,731
2148,826
2150,38
2151,251
2152,174
2153,997
2154,631
2155,451
2156,435
2157,119
2158,176
2159,218
2160,245
2161,256
2162,210
2163,67
2164,375
2165,418
2166,527
2167,176
2168,425
2170,1101
2171,980
2172,37
2173,58
2174,10
2175,42
2176,556
2177,89
2178,107
2179,101
2185,1
2188,1
2190,175
2191,36
2192,66
2193,131
2194,62
2195,57
2196,230
2197,165
2198,173
2199,235
2200,248
2202,1
2203,62
2204,171
2205,80
2206,243
2207,230
2208,121
2209,196
2210,485
2211,292
2212,204
2213,520
2214,95
2215,1
2216,110
2217,139
2218,60
2219,126
2220,131
2221,172
2222,77
2223,257
2224,256
2225,159
2226,407
2227,321
2228,268
2229,466
2230,435
2231,73
2232,726
2233,752
2234,959
2235,1
2240,3
2249,1
2250,1643
2251,1133
2253,1
2254,2
2256,576
2257,996
2258,194
2259,2090
2260,694
2261,1223
2262,754
2263,953
2264,1084
2265,586
2266,2
2267,220
2268,1
2278,149
2280,1093
2281,804
2282,662
2283,1567
2284,587
2285,921
2286,291
2287,1092
2289,545
2290,1159
2291,285
2292,32
2293,33
2294,25
2295,156
2296,29
2297,39
2298,190
2299,234
2300,120
2301,7
2302,2
2303,114
2304,258
2305,343
2306,47
2307,159
2308,4
2311,50
2312,114
2315,792
2316,305
2317,308
2318,794
2319,431
2320,1115
2321,648
2322,693
2323,880
2324,1463
2325,1133
2326,285
2327,250
2328,81
2329,61
2330,1052
2333,645
2334,165
2335,382
2336,119
2337,325
2338,38
2339,30
2340,1739
2341,45
2342,14
2343,188
2344,28
2345,35
2346,107
2347,46
2350,966
2352,112
2353,49
2354,150
2355,20
2356,2
2357,141
2358,132
2359,16
2360,500
2361,32
2365,96
2369,38
2370,244
2371,34
2372,159
2379,12
2380,285
2381,24
2382,32
2386,8
2387,5
2388,56
2390,276
2395,18
2396,11
2397,8
2398,8
2399,4
2400,196
2401,5
2402,49
2403,39
2404,87
2405,2
2406,11
2408,12
2409,14
2410,10
2411,1
2415,15
2416,1
2420,264
2421,124
2422,292
2423,202
2424,25
2425,132
2426,62
2427,402
2428,1496
2429,880
2430,3046
2431,642
2438,1
2439,285
2440,1857
2441,626
2442,2
2443,1210
2444,4726
2445,920
2446,1416
2447,599
2448,773
2449,231
2450,4106
2451,1
2452,1421
2453,248
2454,967
2455,384
2456,1401
2458,1
2459,1
2460,2190
2461,1
2462,203
2463,940
2464,908
2465,25
2466,227
2467,1
